id,titulo,url_pdf,caminho_local,status_download
1021,USTEQUINUMABE / DOENÇA DE CROHN,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1021.pdf,output/df_tjdft/pdfs/1021.pdf,sucesso
1022,ILOPROST / HIPERTENSÃO PULMONAR,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1022.pdf,output/df_tjdft/pdfs/1022.pdf,sucesso
1023,SOMATOTROPINA/DEFICIÊNCIA DE HORMÔNIO DO CRESCIMENTO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1023.pdf,output/df_tjdft/pdfs/1023.pdf,sucesso
1024,câncer de próstata - Abiraterona,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1024.pdf,output/df_tjdft/pdfs/1024.pdf,sucesso
1025,ILOPROST / HIPERTENSÃO ARTERIAL PULMONAR SECUNDÁRIA À ESQUISTOSSOMOSE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1025.pdf,output/df_tjdft/pdfs/1025.pdf,sucesso
1026,CANABIDIOL/ DOR NEUROPÁTICA CRÔNICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1026.pdf,output/df_tjdft/pdfs/1026.pdf,sucesso
1027,NINTEDANIBE OU PIRFENIDONA / FIBROSE PULMONAR IDIOPÁTICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1027.pdf,output/df_tjdft/pdfs/1027.pdf,sucesso
1028,RITUXIMABE / LÚPUS ERITEMATOSO SISTÊMICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1028.pdf,output/df_tjdft/pdfs/1028.pdf,sucesso
1029,MEPOLIZUMABE / ASMA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1029.pdf,output/df_tjdft/pdfs/1029.pdf,sucesso
1030,SULTHIAME (OSPOLOT) / EPILEPSIA FOCAL DO LOBO FRONTAL,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1030.pdf,output/df_tjdft/pdfs/1030.pdf,sucesso
1031,RITUXIMABE / PÊNFIGO VULGAR,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1031.pdf,output/df_tjdft/pdfs/1031.pdf,sucesso
1032,Riociguate / Hipertensão pulmonar tromboembólica crônica,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1032.pdf,output/df_tjdft/pdfs/1032.pdf,sucesso
1034,BORTEZOMIBE / MIELOMA MÚLTIPLO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1034.pdf,output/df_tjdft/pdfs/1034.pdf,sucesso
1035,ICATIBANTO (FIRAZYR)/ ANGIOEDEMA HEREDITÁRIO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1035.pdf,output/df_tjdft/pdfs/1035.pdf,sucesso
1037,PIRFENIDONA/ FIBROSE PULMONAR IDIOPÁTICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1037.pdf,output/df_tjdft/pdfs/1037.pdf,sucesso
1038,MICOFENOLATO DE MOFETILA / LÚPUS ERITEMATOSO SISTÊMICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1038.pdf,output/df_tjdft/pdfs/1038.pdf,sucesso
1039,BELIMUMABE / LÚPUS ERITEMATOSO SISTÊMICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1039.pdf,output/df_tjdft/pdfs/1039.pdf,sucesso
1040,HORMÔNIO DE CRESCIMENTO / BAIXA ESTATURA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1040.pdf,output/df_tjdft/pdfs/1040.pdf,sucesso
1041,EMICIZUMABE / HEMOFILIA A (AUSÊNCIA DO INIBIDOR DO FATOR VIII),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1041.pdf,output/df_tjdft/pdfs/1041.pdf,sucesso
1042,RINOSSEPTOPLASTIA FUNCIONAL/ OBSTRUÇÃO NASAL E PANSINUSITE CRÔNICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1042.pdf,output/df_tjdft/pdfs/1042.pdf,sucesso
1043,ELTROMBOPAGUE OLAMINA / MIELOMA MÚLTIPLO E PLAQUETOPENIA SECUNDÁRIA À DROGA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1043.pdf,output/df_tjdft/pdfs/1043.pdf,sucesso
1044,BRENTUXIMABE VEDOTINA / LINFOMA DE HODGKIN,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1044.pdf,output/df_tjdft/pdfs/1044.pdf,sucesso
1045,BORTEZOMIBE / MIELOMA MÚLTIPLO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1045.pdf,output/df_tjdft/pdfs/1045.pdf,sucesso
1046,ELETROCONVULSOTERAPIA/ TRANSTORNO AFETIVO BIPOLAR,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1046.pdf,output/df_tjdft/pdfs/1046.pdf,sucesso
1047,HIDROXIUREIA (HIDROXICARBAMIDA) / DOENÇA FALCIFORME,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1047.pdf,output/df_tjdft/pdfs/1047.pdf,sucesso
1048,ABEMACICLIBE E FULVESTRANTO / CÂNCER DE MAMA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1048.pdf,output/df_tjdft/pdfs/1048.pdf,sucesso
1049,IRIDOTOMIA COM LASER/ GLAUCOMA PRIMÁRIO DE ÂNGULO FECHADO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1049.pdf,output/df_tjdft/pdfs/1049.pdf,sucesso
1050,MICOFENOLATO DE MOFETILA / LÚPUS ERITEMATOSO SISTÊMICO (NEFRITE LÚPICA PROLIFERATIVA REFRATÁRIA À CICLOFOSFAMIDA),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1050.pdf,output/df_tjdft/pdfs/1050.pdf,sucesso
1051,NINTEDANIBE / DOENÇA PULMONAR INTERSTICIAL FIBROSANTE PROGRESSIVA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1051.pdf,output/df_tjdft/pdfs/1051.pdf,sucesso
1052,PEMBROLIZUMABE OU NIVOLUMABE / MELANOMA METASTÁTICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1052.pdf,output/df_tjdft/pdfs/1052.pdf,sucesso
1053,BORTEZOMIBE / MIELOMA MÚLTIPLO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1053.pdf,output/df_tjdft/pdfs/1053.pdf,sucesso
1054,RITUXIMABE / LÚPUS ERITEMATOSO SISTÊMICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1054.pdf,output/df_tjdft/pdfs/1054.pdf,sucesso
1055,SIROLIMUS / MALFORMAÇÃO VASCULAR MISTA E COMPLEXA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1055.pdf,output/df_tjdft/pdfs/1055.pdf,sucesso
1056,MICOFENOLATO DE MOFETILA / LÚPUS  ERITEMATOSO SISTÊMICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1056.pdf,output/df_tjdft/pdfs/1056.pdf,sucesso
1057,SISTEMA DE INFUSÃO CONTÍNUO DE INSULINA / DIABETES MELLITUS,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1057.pdf,output/df_tjdft/pdfs/1057.pdf,sucesso
1058,TRIKAFTA® / FIBROSE CÍSTICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1058.pdf,output/df_tjdft/pdfs/1058.pdf,sucesso
1059,RISDIPLAM (EVRYSDI® ) / ATROFIA MUSCULAR ESPINHAL TIPO 2,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1059.pdf,output/df_tjdft/pdfs/1059.pdf,sucesso
1060,DINUTUXIMABE / NEUROBLASTOMA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1060.pdf,output/df_tjdft/pdfs/1060.pdf,sucesso
